"","Opération","Division","Description","Designation","TypeUnité","TypeProduit","NombreUnité","StatutADV","Superficie","PrixUnitaire","PrixTotal","NuméroClient","Client","Dossier","TypeDocument","DésignationTypeDeDocument","Création","Vers1","Vers2","Vers3","TotalVersement","VersRegularis","TropPerçuRéglé","TropPerçuNonRéglé","ResteàPayer","TotalAvances"
"1942","180392.01",1805,"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2                  ",1,2,127,1505,191135,"10624691","Gardiner Coles","21735823","ZVL ","Vente libre         ",2020-08-17,95567.5,47783.75,0,143351.25,0,0,0,47783.75,143351.25
"6720","180620.01",1802,"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",1,2,100,1200,120000,"11062323","Ardelis Payn","21739027","ZVL ","Vente libre         ",2020-10-21,0,0,0,0,0,0,0,120000,0
"3714","180392.03",1805,"Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",1,2,100,950,95000,"11046735","Thadeus Bradbrook","21630160","ZVL ","Vente libre         ",2018-07-04,47500,0,0,47500,0,0,0,47500,47500
"2039","180392.01",1805,"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,3,121,1155,139755,"10627475","Nathan Witherington","21235811","ZVL ","Vente libre         ",2014-10-07,34938.75,69877.5,0,104816.25,0,0,0,34938.75,104816.25
"2799","180392.02",1805,"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,3,70,800,56000,"10628089","Ronnie Phythien","21213231","ZVL ","Vente libre         ",2013-09-25,14700,13000,15000,42700,0,0,0,13300,42700
"6925","180621.03",1802,"Berkane                       ","RESIDENCE GREEN HOUSE R+3               ","CONSTRUCTION LOGEMENT    ","CONSTR MOYEN& HAUT STANDING APPARTEMENT ",1,2,81.5,4785.28,390000,"11079543","Gabey Littlewood","21659709","ZVL ","Vente libre         ",2019-07-08,97500,97500,0,195000,0,0,0,195000,195000
"519","180149.01",1803,"Nador - Driouch               ","7321-AL ANNOUAR ARRUIT                  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,2,100,1850,185000,"11025315","Gaby Smellie","21631887","ZVL ","Vente libre         ",2018-08-07,40000,0,0,40000,0,0,0,145000,40000
"652","180171.01",1804,"Jerada-Figuig                 ","98001-AMAL 1 A AIN BENI MATHAR          ","PRODUITS TIERS           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",1,5,101,350,35350,"10627292","Alexandrina Goalby","21217248","ZVL ","Vente libre         ",2000-01-01,35350,0,0,35350,0,0,0,0,35350
"122","180018.01",1804,"Jerada-Figuig                 ","99501-RYAD BOUARFA                      ","LOT HABITATION           ","LOTS PROMOTIONNELS VILLA BANDE          ",1,2,200,750,150000,"11123357","Norrie Hovert","21746251","ZVL ","Vente libre         ",2021-03-24,0,0,0,0,0,0,0,150000,0
"547","180149.01",1803,"Nador - Driouch               ","7321-AL ANNOUAR ARRUIT                  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+6 RDC COMMERCIAL   ",1,2,446,2775,1237650,"11050404","Alyse Wyse","21632586","ZVL ","Vente libre         ",2018-08-27,240000,0,0,240000,0,0,0,997650,240000
"4323","180403.03",1803,"Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,3,150,2100,315000,"10613255","Denny Shera","21228020","ZVL ","Vente libre         ",2013-11-07,78750,78750,78750,236250,0,0,0,78750,236250
